AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX
16.231,1009.2,74.131,3.5707,27.93,1089.6,549.9,140.83,12.408,63.314
25.19,1014.9,57.062,2.7637,26.226,1049.8,550.15,107.83,10.378,49.089
11.783,1014,83.578,2.7396,18.702,1044.4,548.89,108.38,10.334,72.807
8.2863,1005,90.17,2.5111,18.935,1042.3,548.79,108.58,10.281,74.796
33.583,1009.8,36.924,4.4289,30.389,1100,544.07,148.53,13.22,56.677
16.124,1010.2,81.329,2.7427,19.363,1048.4,549.97,109.77,10.38,56.194
14.392,1019.3,64.17,3.3129,26.145,1083.2,550.06,135.64,12.06,61.394
9.4638,1021.2,77.091,4.2298,34.149,1099.9,534.65,160.17,13.898,53.84
22.873,1010.2,50.383,3.1485,22.136,1063.7,550,119.39,11.053,54.302
20.781,1012.3,80.212,3.7924,24.462,1078.9,549.78,130.22,11.849,51.889
27.756,1007.7,56.118,4.0007,25.041,1080.8,550.04,129.97,11.985,54.533
25.485,1013.8,74.664,3.9969,25.134,1082.8,549.89,131.73,11.985,51.343
27.522,1013.5,56.926,2.7898,18.709,1043.3,549.82,103.64,10.255,47.535
26.971,1015.1,52.676,3.8619,25.182,1082.8,550.07,130.45,11.985,54.283
16.687,999.27,83.635,3.5302,23.95,1076,550.42,130.35,11.632,52.607
11.976,1005.1,83.68,3.4832,28.559,1082.4,550.01,136.23,11.971,67.573
20.536,1010.5,43.745,3.7132,26.779,1091.8,550.21,140.31,12.552,62.417
25.972,1015.1,54.643,4.0659,25.584,1083.4,548.48,132.45,12.12,56.466
21.058,1017.1,78.395,3.7627,24.105,1077.7,549.82,128.95,11.814,51.834
4.7199,1016,85.487,3.1142,24.435,1073.1,549.77,130.69,11.599,75
25.121,1008.9,66.389,4.3374,30.133,1100,544.82,148.77,13.24,55.935
3.1962,1023.6,73.718,2.933,21.713,1065.4,550.37,124.6,11.193,82.446
12.293,1015.6,47.136,3.3821,29.138,1081.2,550.49,134.82,11.897,69.37
18.867,1012.6,91.931,3.6359,22.122,1064.5,549.94,120.36,11.201,46.075
18.893,1012.7,79.153,3.1493,22.645,1068,549.79,123.19,11.392,56.964
15.337,1028.7,62.987,3.2573,23.143,1075.1,549.6,128.28,11.649,57.446
17.274,1008.6,75.9,2.7119,19.557,1049.5,549.94,110.35,10.386,56.686
8.8623,1021.7,72.161,3.3762,25.513,1084,549.99,137.65,12.196,68.971
14.247,1014.7,76.676,3.2361,23.798,1077,550.24,130.82,11.693,51.391
12.496,1024.4,38.738,4.2748,32.911,1099.8,535.26,157.6,13.865,59.772
24.293,1008.7,83.213,4.3851,30.341,1099.8,543.84,148.59,13.232,54.535
22.553,1011.2,51.683,3.6948,26.925,1091.4,550.36,139.3,12.372,58.002
14.484,1006.7,78.501,4.5791,34.508,1100.1,531.18,159.98,14.134,49.429
18.88,1002.8,65.674,3.031,21.249,1059.5,549.86,117.44,10.995,51.941
6.5605,1009.4,83.138,3.0732,23.342,1073.8,549.75,131.31,11.53,72.79
16.945,1007,82.642,3.2933,24.045,1076.5,549.95,130.19,11.797,52.357
25.297,1009.4,62.428,4.3074,29.84,1100,545.24,148.58,13.188,57.558
10.508,1032.9,70.839,3.35,23.591,1076.6,549.94,130.38,11.654,66.528
9.1113,1014.2,73.335,3.1112,24.862,1073,549.96,130.03,11.618,69.586
15.284,1012.2,77.543,2.7062,19.082,1046.3,550.25,108.87,10.361,60.835
26.459,1008,58.096,3.1526,22.343,1064.5,550.01,118.64,11.189,48.675
11.591,1023.5,43.82,4.2386,35.738,1100,536.31,156.8,13.776,61.515
9.903,1008.8,88.147,4.2491,33.11,1099.9,535.44,159.73,13.836,58.775
11.665,1025.8,67.228,3.4404,24.108,1080.3,550.21,133.63,11.997,61.264
14.793,1010.2,83.553,3.2979,23.752,1076.3,550.31,130.37,11.769,50.818
10.415,1015.9,69.89,2.7145,22.761,1049.9,548.85,112.79,10.567,75.771
11.513,1025.5,75.139,4.4357,31.786,1100,535.44,158.23,13.861,50.691
21.299,1010.7,68.956,3.5906,25.94,1086.2,550,136.42,12.13,55.283
25.77,1012.4,78.649,3.0581,20.26,1052.7,550.04,109.99,10.621,48.848
24.15,1005.5,47.887,4.2354,30.563,1099.9,542.95,151.67,13.34,55.707
27.198,1013.8,52.755,4.4483,30.772,1099.9,542.11,149.99,13.36,53.132
26.182,1012.6,53.959,3.9825,25.218,1082.8,550.18,131.12,11.971,58.577
-4.9279,1034.9,71.525,4.1793,35.044,1100,523.31,174.2,14.728,60.118
3.5602,1023,81.503,3.8397,31.032,1100.2,538.37,160.24,13.657,63.809
7.9759,1022.8,51.175,3.1243,27.707,1073,550.02,129.48,11.582,81.668
27.464,1007.6,38.004,2.8464,19.998,1050.1,550.11,108.27,10.398,51.532
15.953,1030.1,57.15,3.3559,23.82,1078.6,549.66,130.76,11.912,57.013
15.072,998.81,60.251,3.2582,28.384,1074.3,549.94,129.91,11.731,64.665
14.93,1004.5,69.444,3.3116,29.527,1077,550.37,131.56,11.731,64.49
26.57,1015.2,71.463,4.4556,30.51,1100,542.86,148.61,13.299,51.864
25.208,1016.8,55.11,3.9065,25.941,1087.1,550.1,134.7,12.197,57.076
23.021,1011.2,70.533,4.2619,30.212,1100,544.03,149.56,13.283,50.639
25.893,1005.2,63.157,4.2077,29.729,1099.9,546.32,147.44,13.147,56.184
20.868,1015.3,74.106,3.5653,25.799,1086.7,549.77,136.53,12.18,52.602
26.869,1015,71.364,4.3291,29.744,1099.9,545.17,147.4,13.19,49.635
4.2294,1020.1,77.04,4.1218,34.496,1100,530.12,166.09,14.214,59.379
6.5152,1016.3,81.403,4.0043,32.348,1099.9,535.44,161.96,13.898,60.229
15.339,1017.6,79.587,3.172,20.167,1055.5,550.24,114.55,10.817,55.405
2.4984,1021.4,63.047,4.1293,34.459,1099.8,527.35,168.09,14.409,60.106
12.34,1017.6,86.274,3.3746,23.673,1075.2,549.83,130.19,11.606,58.906
6.2738,1025.5,86.064,3.2392,23.175,1075.6,549.68,131.98,11.625,67.396
4.6128,1025.1,81.234,4.0853,33.146,1100,531.85,164.34,14.126,58.405
20.132,1014.7,67.304,3.4994,24.204,1079,550.42,130.66,11.848,50.409
11.586,1023.6,63.26,3.3975,23.64,1076.7,550,130.91,11.652,59.68
20.222,1015.7,73.419,3.6372,25.694,1085.5,550.07,135.89,12.104,54.332
25.409,1015.7,35.624,3.1199,22.182,1064.2,550.06,118.88,11.166,58.601
25.384,1016.1,53.428,2.7837,23.714,1049.2,550.44,107.51,10.384,51.802
15.662,998.93,82.356,2.8337,19.055,1046.4,549.72,108.52,10.237,56.301
30.209,1013.9,39.128,3.1483,20.706,1055.3,550.05,110.4,10.787,47.975
7.7889,1024.7,74.206,4.5526,32.903,1100,531.69,162.88,14.138,49.929
11.05,1010.6,66.743,3.2614,29.695,1076.1,549.96,131.21,11.793,64.902
9.2545,1000.6,72.587,3.0788,27.809,1071.5,549.88,129.66,11.479,71.26
23.484,1012.8,56.7,4.2692,30.504,1100,542.77,151.19,13.379,51.922
12.983,1018.3,66.381,4.0734,36.244,1100,535.98,157.46,13.836,58.887
3.4218,1028.7,91.003,3.6911,22.859,1073.5,549.78,129.86,11.549,67.737
16.819,1019.1,56.668,3.3181,23.69,1076.7,549.59,129.53,11.752,55.237
10.112,1017.4,70.835,3.3542,26.154,1082.6,550.38,136.25,12.042,70.621
27.376,1006.1,62.148,4.3216,29.439,1099.2,547.17,145.82,13.029,58.348
31.369,1003.6,49.659,4.2988,30.047,1100.1,546.2,146.72,13.088,55.516
16.936,1015.3,68.543,3.5161,29.291,1084.2,550.08,135.33,12.082,64.88
14.147,1018.9,74.41,3.2342,23.444,1076.2,549.63,130.44,11.675,56.767
14.566,1015.1,79.114,3.0891,22.277,1067.7,550.47,123.98,11.302,57.742
7.853,999.18,81.121,3.0691,28.275,1072,549.81,130.41,11.452,71.451
8.5772,1016.8,82.908,3.2845,23.549,1074.7,550.28,130.74,11.596,62.537
23.638,1006.4,80.012,4.6704,30.141,1100.1,544.77,148.18,13.235,47.874
21.174,1017.6,79.722,3.7148,23.851,1075.7,549.95,127.52,11.729,51.214
10.599,1025,75.242,2.7372,18.676,1027.7,537.52,104.32,10.375,97.785
11.917,1025.5,43.388,3.2533,24.415,1076.2,550.06,130.86,11.711,69.479
19.568,1012.8,65.415,3.6503,26.961,1092.9,549.93,141.6,12.598,57.771
10.445,1021.4,59.932,4.4875,32.212,1100,534.82,159.51,13.905,51.862
15.877,1012,76.517,3.1642,23.167,1070.1,549.89,125.62,11.449,61.531
7.1188,1020.8,80.125,3.1227,23.047,1070.6,549.55,128.45,11.479,71.664
30.16,1008.6,43.042,4.457,30.64,1100,543.2,149.57,13.296,49.075
24.172,1011.9,59.919,3.9114,27.904,1096.7,550.09,141.93,12.722,55.545
29.275,1011.2,41.059,4.4016,30.363,1099.9,543.84,149.52,13.289,59.11
29.341,1013.8,43.151,3.9503,25.685,1085.3,550.07,131.58,12.117,56.495
17.745,1018.9,64.497,3.3544,23.928,1077.2,549.59,129.68,11.825,54.115
10.833,1021.7,69.512,3.1601,29.095,1076,550.03,130.95,11.681,67.317
28.79,1008.3,37.222,4.2081,29.384,1099.8,546.73,145.82,13.065,64.812
20.311,1016.2,79.592,3.7697,24.425,1080,550.38,131.12,11.974,51.94
16.572,1022,68.337,3.7003,23.847,1078.2,550.19,130.59,11.847,50.822
17.264,1013.1,70.955,3.4252,24.701,1081.8,550.3,134.01,12.054,54.262
17.672,1014.5,49.161,3.5043,30.364,1086.7,549.85,137.63,12.289,66.814
29.885,1008.1,64.306,4.3626,29.184,1099.7,548.04,144.55,12.961,58.839
29.178,1012.6,46.834,4.2349,29.38,1100,546.88,145.89,13.083,51.556
9.9705,1030.9,75.986,3.206,23.249,1076.5,550.31,131.05,11.722,61.9
7.8597,1021.6,68.908,4.5147,32.99,1100.1,532.24,163.25,14.091,50.945
14.731,1016.3,55.416,2.7212,21.932,1048,549.96,109.46,10.412,70.509
16.78,1009.3,85.969,3.3526,23.917,1076,550,129.61,11.798,49.052
8.6543,1022.4,73.886,3.1668,28.618,1074.4,549.88,130.14,11.619,68.355
26.566,1013.8,76.781,4.4887,30.757,1100,542.05,148.71,13.341,49.922
9.466,1019.9,70.59,3.5978,26.536,1093.2,549.9,143.7,12.462,69.681
23.533,1008,80.985,4.1258,29.311,1099.8,547.62,146.68,13.032,53.186
11.88,1017.7,49.081,3.3658,30.541,1085,549.66,137.68,12.183,70.922
19.576,1011.8,72.423,3.4614,29.437,1082.9,550.07,133.82,12.029,53.893
26.077,1012.9,62.769,3.7901,24.954,1081.2,550.15,130.08,11.976,55.38
20.29,1009.9,71.019,3.6761,31.354,1091.1,550.05,139.33,12.443,56.483
15.535,1017.2,70.644,2.9126,19.379,1049.9,549.87,110.83,10.55,61.285
28.344,1013.5,62.55,4.3302,29.802,1100,545.43,147.43,13.181,54.286
21.416,1007.5,84.415,4.2837,30.185,1100,544.36,149.36,13.245,55.023
21.102,1011.1,62.513,3.0743,28.892,1063.8,549.73,119.6,11.133,59.171
14.256,1012.2,65.233,3.2005,27.249,1076.6,549.84,131.21,11.67,64.474
30.912,1015.5,40.854,3.4898,23.441,1066.7,547.36,120.88,11.434,45.855
9.2651,1019.1,86.32,2.6495,18.55,1046.5,549.55,109.74,10.283,63.519
3.5158,1033.1,80.553,3.0066,21.154,1063.6,550.16,123.09,11.172,72.784
25.416,1009.1,83.177,3.9441,25.214,1081.1,550.06,130.13,11.985,48.804
6.4435,1030.7,86.713,3.1017,21.093,1063.1,550.38,121.77,11.18,71.385
16.388,1015.5,79.461,3.6615,26.08,1085.3,547.67,138.26,12.396,51.219
2.8899,1021.9,75.523,2.9342,22.58,1071.4,549.75,130,11.552,80.551
13.796,1012.6,80.309,3.2485,29.783,1075.8,549.94,130.55,11.649,63.564
25.919,1010.7,64.166,2.8625,18.303,1040.4,550.17,100.74,10.081,51.942
14.763,1017.7,67.387,2.8003,20.022,1054.7,550.02,114.12,10.653,58.073
24.632,1007.4,83.675,4.4393,29.924,1100.1,545.63,146.98,13.22,56.133
10.048,1021.1,82.169,2.615,18.045,1020.1,534.42,101.39,10.281,115.78
-3.0217,1036.3,57.921,4.233,35.467,1099.9,522.06,173.94,14.762,66.41
12.592,1009.5,83.938,3.143,22.16,1066.3,549.88,123.89,11.319,58.284
19.066,1004.5,56.644,4.3887,35.906,1099.8,533.52,156.49,13.845,60.107
5.8397,1026.9,72.972,3.2881,23.329,1076.4,549.85,131.67,11.684,68.675
14.376,1014.2,80.568,2.727,18.787,1046.3,550.18,108.3,10.276,64.958
11.154,1017.8,83.517,3.2807,23.678,1075.7,549.99,130.74,11.745,58.121
22.164,1012.6,54.999,4.0858,35.715,1096.9,543.08,147.74,13.149,62.48
11.039,1019.6,51.911,3.2473,28.083,1078.1,549.92,132.52,11.799,71.651
9.3753,1024.5,68.86,4.1257,33.164,1100,533.91,160.71,13.998,58.435
30.34,1015.7,49.335,4.3921,30.573,1100,543.26,149.23,13.313,45.364
19.004,1016.4,79.321,3.6471,26.342,1089.9,549.53,139.56,12.408,54.972
19.524,1007.4,54.368,2.8143,23.236,1049.5,550.06,109.61,10.463,56.402
22.683,1009.8,79.998,3.9551,25.231,1081.9,549.98,131.81,11.943,54.793
19.817,1016.8,71.78,3.3194,24.445,1079.2,550.33,130.9,11.79,46.428
23.597,1004.5,68.105,4.3007,30.511,1099.9,543.84,149.72,13.351,53.739
25.928,1011.3,63.873,3.3082,20.121,1052.3,549.93,109.72,10.619,45.041
14.575,1014.4,59.995,3.1878,29.64,1076.5,549.98,130.58,11.715,65.439
13.689,1032.2,59.53,2.5997,18.221,1034.3,542.86,103.74,10.255,88.299
11.847,1032.9,60.48,3.4066,24.237,1080.8,550.29,133.48,12.022,63.33
13.658,1015.6,59.264,3.1892,29.485,1077,549.94,131.41,11.792,67.395
24.572,1015.2,76.139,4.311,30.003,1100.2,544.03,148.71,13.302,52.698
26.449,1016.1,51.134,2.7858,25.156,1049.4,550.47,107.4,10.366,51.421
7.83,1014.5,68.088,3.2267,23.968,1079.3,550.09,134.75,11.901,75.2
11.165,1007.7,84.298,2.633,19.827,1034.4,543.88,104.73,10.109,88.68
25.302,1011.9,74.195,3.7526,25.084,1082.4,549.94,131.72,12.09,53.479
32.201,1004.5,59.144,4.1871,29.069,1098.8,548.28,144.12,12.867,54.214
14.732,1007.2,87.324,3.3106,24.049,1076.4,550.12,130.75,11.664,56.3
7.6187,1016.6,79.368,2.769,20.378,1049.2,549.37,112.27,10.571,76.292
18.259,1012.8,67.6,3.1845,26.543,1069,549.76,124.45,11.376,56.878
13.13,1024.5,32.557,4.1966,32.949,1099.9,537.8,155.59,13.646,61.631
21.615,1014.5,81.068,3.6782,24.199,1077.7,549.91,129.23,11.889,51.773
15.193,1007,85.418,3.7092,23.862,1076,550.02,130.09,11.782,50.551
20.487,1002.2,64.149,3.5168,24.062,1076.5,550.36,129.1,11.81,51.806
10.441,1024.4,60.466,4.4374,31.625,1100.1,536.14,158.71,13.866,49.94
14.75,1019.4,62.969,4.2283,33.767,1100,536.27,157.24,13.791,57.367
0.32456,1024.2,89.692,4.2758,34.527,1099.9,527.09,169.56,14.381,56.443
21.345,1016.6,69.022,2.7117,19.365,1049.1,549.89,108.34,10.447,53.227
24.748,1010.9,57.661,3.7165,25.899,1085.9,550.09,135.08,12.167,53.869
30.596,1011,32.588,4.296,30.579,1100,543.57,150.47,13.282,53.851
11.413,1029.8,73.515,4.5496,33.066,1100.1,531.64,161.03,14.066,50.267
14.146,1008,64.817,3.704,32.393,1099.9,546.41,150.69,13.121,63.643
18.87,1002.7,90.442,3.3383,23.331,1071.9,549.91,126.13,11.563,46.45
27.902,1007.6,41.927,4.321,30.674,1099.8,543.14,151.21,13.319,53.006
24.637,1008.5,73.634,4.1316,29.877,1099.9,545.83,147.7,13.131,52.31
33.622,1007.3,44.46,4.605,29.971,1100,546.12,146.89,13.109,58.703
22.269,1017.3,57.697,4.2194,29.589,1099.8,543.98,148.57,13.259,50.864
13.554,1014.2,77.71,3.396,24.665,1081.8,550.32,134.79,12.059,59.701
31.824,1010.4,49.851,4.4427,29.379,1099.9,547.1,145.93,13.075,54.198
28.764,1014.3,40.862,3.9296,28.058,1097.5,549.96,141.11,12.77,61.493
11.281,1012.9,81.019,2.7134,19.525,1046.4,549.98,109.53,10.372,72.246
24.075,1022.6,56.032,3.5941,22.597,1068.9,550.07,121.28,11.455,47.732
15.509,1007.9,85.712,4.3687,31.101,1100,539.82,154.56,13.557,52.432
28.85,1009.6,55.422,4.7853,32.668,1099.9,536.16,153.3,13.813,54.037
19.033,1013.5,72.947,3.8105,27.171,1093.4,549.94,141.61,12.595,53.106
0.77954,1021.5,74.934,2.6818,19.056,1042.7,546.43,109.82,10.465,108.81
15.454,1000.3,81.992,3.2132,22.553,1067.2,549.88,123.93,11.274,54.084
27.98,1009.4,50.59,4.4,30.357,1099.9,544.07,148.86,13.298,50.59
19.327,1015.2,75.892,3.0168,19.764,1052.1,549.62,111.45,10.617,56.628
24.826,1007.9,64.986,2.8437,20.099,1051.2,550.26,109.94,10.59,46.959
24.312,1016.9,61.576,3.9986,28.254,1098.9,549.31,143.59,12.844,55.933
20.816,1010.4,41.884,3.7443,26.952,1092.8,549.71,140.82,12.494,62.383
30.34,1014.2,42.149,4.4377,30.813,1100.1,542.47,150.62,13.344,47.013
11.485,1012.8,67.869,2.5027,19.816,1042.2,548.42,107.57,10.211,74.731
10.659,1021.9,66.465,3.4305,27.334,1086.5,550.03,139.16,12.172,66.689
29.251,1013.6,38.442,3.8998,25.329,1083.1,549.99,130.08,11.995,58.753
23.661,1007.6,67.328,3.8508,24.623,1078.6,549.77,129.53,11.88,53.45
8.7893,1021.7,70.164,2.6058,18.691,1027.3,537.3,105.04,10.311,104.14
25.623,1016.7,53.302,3.9531,27.685,1096.5,549.98,141.07,12.618,57.802
28.801,1014.4,43.49,4.2822,30.547,1100.1,542.77,150.43,13.341,51.149
9.7452,1012,76.298,2.7175,19.397,1049.6,548.68,113.25,10.517,77.658
20.01,1015.1,80.039,2.838,19.858,1051.2,549.54,110.47,10.483,51.567
8.2872,1005.2,90.261,2.5042,18.288,1041.7,548.71,108.06,10.289,75.073
31.128,1007.6,49.304,4.386,29.621,1099.9,546.41,147.35,13.139,54.633
13.505,1018.4,71.068,2.6714,18.77,1046.2,549.88,108.42,10.317,64.029
13.537,1006.1,84.596,2.7085,20.673,1046,550.1,108.92,10.227,62.928
13.606,1031.9,59.168,2.6001,18.153,1030.2,540.41,102.45,10.23,95.461
10.871,1019.5,78.38,2.6134,18.672,1046.8,549.58,109.47,10.265,62.656
20.63,1010.5,62.243,2.7586,18.318,1041.7,549.82,103.13,10.152,52.177
12.648,1010.8,70.521,3.0839,24.691,1076.2,550.04,131.07,11.79,66.481
12.19,1022.9,77.444,2.5849,18.316,1024.2,537.25,101.57,10.128,109.3
8.8797,1020.9,80.779,2.5676,18.456,1044.8,548.67,109.2,10.324,68.806
8.1668,1018.6,81.341,2.6377,23.189,1042.5,546.85,109.26,10.324,77.851
8.9581,1018.5,65.824,3.2709,25.069,1080.4,550.13,135.2,11.898,70.015
13.303,1013.7,78.963,2.708,18.936,1047.6,549.94,109.73,10.283,65.839
21.149,1015.9,66.783,3.8217,27.171,1093.8,550.08,141.37,12.591,55.238
22.684,1014.7,45.559,3.6808,32.201,1088.5,550.18,136.28,12.29,61.385
16.404,1022.5,60.75,2.5904,18.054,1034.9,545.06,102.29,10.206,76.262
22.931,1012.9,69.379,4.3372,30.972,1099.7,541.71,150.71,13.38,50.372
13.537,1007.1,73.725,3.1249,25.279,1074.2,550.02,129.49,11.682,65.346
15.3,1007.5,83.706,3.3044,23.189,1071.3,549.68,127.17,11.561,58.257
26.636,1010.7,64.399,3.8587,25.101,1081.9,550.21,130.99,11.999,60.887
8.7097,1021.2,74.012,3.2163,24.792,1076.7,550,131.79,11.664,69.4
28.307,1010.9,71.575,4.592,30.366,1100.1,544.03,147.54,13.227,49.352
15.032,1021.2,88.052,3.3383,21.03,1061.3,550.02,118.46,10.945,53.331
16.78,1016.8,79.531,4.2879,31.366,1099.8,539.01,154,13.606,51.727
7.7485,1023.3,51.259,3.1326,28.118,1073.6,550.07,130.05,11.625,79.218
6.537,1022.8,63.733,4.1902,36.003,1099.9,531.87,163.87,14.099,60.209
11.24,1019.6,75.721,3.0854,23.901,1075.4,550.07,130.55,11.629,68.276
28.05,1009.9,55.872,3.8687,25.351,1083,549.52,130.77,12.012,56.848
18.597,1009.9,78.505,3.1124,22.233,1064.4,549.85,121.12,11.158,53.58
2.8451,1021,77.804,2.978,22.992,1067,549.67,125.17,11.36,78.191
8.975,1020.2,81.635,2.6377,18.705,1044.5,548.55,109.35,10.281,69.959
15.887,1007.2,86.328,3.2999,24.043,1076.1,550.25,130.07,11.791,56.304
22.193,1018.3,48.148,3.3103,21.377,1060.2,549.76,115.51,11.026,59.954
13.268,1004.1,87.552,2.8578,21.289,1044.9,550.42,108.34,10.285,63.056
10.928,1005.5,74.314,3.0972,23.653,1075.1,550.07,131.49,11.747,66.001
3.05,1006.6,57.979,3.0086,23.334,1072.9,549.89,131.61,11.504,83.305
11.99,1015.9,59.589,2.6399,22.384,1045,548.82,109.19,10.342,69.686
5.3113,1025.6,81.821,3.3186,22.887,1074.3,549.77,130.99,11.657,65.817
18.239,1010,82.628,2.8382,19.372,1048.8,550.28,109.88,10.407,52.253
7.4581,1016.8,58.343,3.2162,27.464,1079.8,549.68,135.08,11.977,73.457
25.203,1014,81.994,4.309,29.776,1100.1,545.23,147.27,13.168,52.051
18.008,1010.9,63.199,3.4679,23.978,1076.9,550.14,129.62,11.763,52.733
